date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:38	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15283%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://asharamisynergy.com/)
17:10:39	2771/2771	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec2-ad3%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-mousewheel/3.1.13/jquery.mousewheel.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/jquery-mousewheel/3.1.13/jquery.mousewheel.min.js	(from https://asharamisynergy.com/)
17:10:39	12073/12073	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e66-2f29%22	https://cdnjs.cloudflare.com/ajax/libs/foundation/6.5.3/js/plugins/foundation.core.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/foundation/6.5.3/js/plugins/foundation.core.min.js	(from https://asharamisynergy.com/)
17:10:40	3570/3570	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e66-df2%22	https://cdnjs.cloudflare.com/ajax/libs/foundation/6.5.3/js/plugins/foundation.util.keyboard.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/foundation/6.5.3/js/plugins/foundation.util.keyboard.min.js	(from https://asharamisynergy.com/)
17:10:40	8025/8025	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e66-1f59%22	https://cdnjs.cloudflare.com/ajax/libs/foundation/6.5.3/js/plugins/foundation.accordion.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/foundation/6.5.3/js/plugins/foundation.accordion.min.js	(from https://asharamisynergy.com/)
17:10:40	18359/18359	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed1-47b7%22	https://cdnjs.cloudflare.com/ajax/libs/lightgallery/1.6.12/js/lightgallery.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/lightgallery/1.6.12/js/lightgallery.min.js	(from https://asharamisynergy.com/)
17:10:40	43881/43881	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-ab69%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.min.js	(from https://asharamisynergy.com/)
17:10:41	14690/14690	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d5d-3962%22	https://cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.js	(from https://asharamisynergy.com/)
17:10:41	3283/3283	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fdc-cd3%22	https://cdnjs.cloudflare.com/ajax/libs/sticky-kit/1.1.3/sticky-kit.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/sticky-kit/1.1.3/sticky-kit.min.js	(from https://asharamisynergy.com/)
17:10:42	2447/2447	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec2-98f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-scrollTo/2.1.2/jquery.scrollTo.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/jquery-scrollTo/2.1.2/jquery.scrollTo.min.js	(from https://asharamisynergy.com/)
17:10:42	1389/1389	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec2-56d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-localScroll/2.0.0/jquery.localScroll.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/jquery-localScroll/2.0.0/jquery.localScroll.min.js	(from https://asharamisynergy.com/)
17:10:43	151725/151725	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c1a236-250ad%22	https://d3js.org/d3.v3.min.js	C:/My%20Web%20Sites/hermes/d3js.org/d3.v3.min.js	(from https://asharamisynergy.com/)
17:10:43	6462/6462	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262c1a236-193e%22	https://d3js.org/topojson.v1.min.js	C:/My%20Web%20Sites/hermes/d3js.org/topojson.v1.min.js	(from https://asharamisynergy.com/)
17:10:44	5072/5072	---M--	200	added ('OK')	application/javascript	etag:%2213d0-59255bee35c00%22	https://asharamisynergy.com/assets/js/planetaryjs.min.js	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/js/planetaryjs.min.js	(from https://asharamisynergy.com/)
17:10:45	10283/10283	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-282b%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.1/noframework.waypoints.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.1/noframework.waypoints.min.js	(from https://asharamisynergy.com/)
17:10:45	1723/1723	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-6bb%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.1/shortcuts/inview.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.1/shortcuts/inview.min.js	(from https://asharamisynergy.com/)
17:10:45	736/736	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed0-2e0%22	https://cdnjs.cloudflare.com/ajax/libs/lettering.js/0.7.0/jquery.lettering.min.js	C:/My%20Web%20Sites/hermes/cdnjs.cloudflare.com/ajax/libs/lettering.js/0.7.0/jquery.lettering.min.js	(from https://asharamisynergy.com/)
17:10:47	145315/145315	---M--	200	added ('OK')	application/javascript	etag:%22237a3-59255bee35c00%22	https://asharamisynergy.com/assets/js/app.js	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/js/app.js	(from https://asharamisynergy.com/)
17:10:48	18647/18647	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2016:10:47%20GMT	https://asharamisynergy.com/GET	C:/My%20Web%20Sites/hermes/asharamisynergy.com/GET.49.delayed	(from https://asharamisynergy.com/)
17:10:48	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/hermes/www.google-analytics.com/analytics.js	(from https://asharamisynergy.com/)
17:10:49	18647/18647	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2016:10:49%20GMT	https://asharamisynergy.com/assets/css/ajax-loader.gif	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/css/ajax-loader.4b.delayed	(from https://asharamisynergy.com/assets/css/slick-theme.css)
17:10:51	18647/18647	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2016:10:50%20GMT	https://asharamisynergy.com/assets/css/fonts/slick.eot	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/css/fonts/slick.4c.delayed	(from https://asharamisynergy.com/assets/css/slick-theme.css)
17:10:52	18647/18647	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2016:10:51%20GMT	https://asharamisynergy.com/assets/css/fonts/slick.eot?	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/css/fonts/slick.4dd41d.delayed	(from https://asharamisynergy.com/assets/css/slick-theme.css)
17:10:54	18647/18647	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2016:10:53%20GMT	https://asharamisynergy.com/assets/css/fonts/slick.woff	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/css/fonts/slick.4e.delayed	(from https://asharamisynergy.com/assets/css/slick-theme.css)
17:10:55	18647/18647	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2016:10:54%20GMT	https://asharamisynergy.com/assets/css/fonts/slick.ttf	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/css/fonts/slick.4f.delayed	(from https://asharamisynergy.com/assets/css/slick-theme.css)
17:10:57	18647/18647	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2016:10:56%20GMT	https://asharamisynergy.com/assets/css/fonts/slick.svg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/css/fonts/slick.50.delayed	(from https://asharamisynergy.com/assets/css/slick-theme.css)
17:10:58	18647/18647	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Aug%202022%2016:10:57%20GMT	https://asharamisynergy.com/assets/fonts/lg.eot?n1z373	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/fonts/lg.51d641.delayed	(from https://asharamisynergy.com/assets/css/lightgallery.css)
